"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SLRA","Solar Capital Ltd.","25.07","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/slra",
"SAH","Sonic Automotive, Inc.","17.03","$780.29M","1997","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/sah",
"SON","Sonoco Products Company","47.05","$4.74B","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/son",
"SNE","Sony Corp Ord","28","$35.32B","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/sne",
"BID","Sotheby&#39;s","28.84","$1.69B","1988","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bid",
"SFUN","SouFun Holdings Limited","5.16","$2.45B","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/sfun",
"SOR","Source Capital, Inc.","36.45","$315.48M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sor",
"SJI","South Jersey Industries, Inc.","30.14","$2.15B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/sji",
"SXE","Southcross Energy Partners, L.P.","2.26","$110.19M","2012","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/sxe",
"SCE^F","Southern California Edison Company","26.11","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^f",
"SCE^G","Southern California Edison Company","25.4399","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^g",
"SCE^H","Southern California Edison Company","29.17","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^h",
"SCE^J","Southern California Edison Company","27.67","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^j",
"SCE^K","Southern California Edison Company","27.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^k",
"SO","Southern Company (The)","50.88","$46.72B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/so",
"SOJA","Southern Company (The)","27.25","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/soja",
"SCCO","Southern Copper Corporation","26.21","$20.28B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/scco",
